件名,開始日,開始時刻,終了時刻,場所
新歓部会,2025/03/01,17:30:00,18:30:00,
本練習,2025/03/01,13:00:00,16:30:00,
本練習,2025/03/06,13:00:00,16:30:00,
武庫川女子大学コーラス部演奏会,2025/03/08,0:00:00,0:00:00,
PFK・本練習,2025/03/08,13:00:00,16:30:00,
春強化練習,2025/03/10,13:00:00,18:45:00,
春強化練習,2025/03/13,13:00:00,18:45:00,
本練習,2025/03/15,13:00:00,16:30:00,
KKR合同練習,2025/03/17,13:30:00,16:30:00,
老眼大学,2025/03/18,22:00:00,23:00:00,
本練習,2025/03/24,13:00:00,16:30:00,
KKR合同練習,2025/03/27,13:30:00,16:30:00,
本練習,2025/03/29,13:00:00,16:30:00,
本練習,2025/03/31,13:00:00,16:30:00,
